topic-00	topic-01	topic-02	topic-03	topic-04
1918.736219406128	1918.736219406128	1918.736219406128	1918.736219406128	1918.736219406128
2323.1894969940186	2323.1894969940186	2323.1894969940186	2323.1894969940186	2323.1894969940186
2726.2892723083496	2726.2892723083496	2726.2892723083496	2726.2892723083496	2726.2892723083496
3131.2506198883057	3131.2506198883057	3131.2506198883057	3131.2506198883057	3131.2506198883057
3536.1781120300293	3536.1781120300293	3536.1781120300293	3536.1781120300293	3536.1781120300293
3940.164804458618	3940.164804458618	3940.164804458618	3940.164804458618	3940.164804458618
4346.203088760376	4346.203088760376	4346.203088760376	4346.203088760376	4346.203088760376
4749.480962753296	4749.480962753296	4749.480962753296	4749.480962753296	4749.480962753296
5153.720378875732	5153.720378875732	5153.720378875732	5153.720378875732	5153.720378875732
5557.258367538452	5557.258367538452	5557.258367538452	5557.258367538452	5557.258367538452
5960.844278335571	5960.844278335571	5960.844278335571	5960.844278335571	5960.844278335571
6367.75541305542	6367.75541305542	6367.75541305542	6367.75541305542	6367.75541305542
6770.040988922119	6770.040988922119	6770.040988922119	6770.040988922119	6770.040988922119
7172.919034957886	7172.919034957886	7172.919034957886	7172.919034957886	7172.919034957886
7578.160047531128	7578.160047531128	7477.665185928345	7477.665185928345	7477.665185928345
7980.612754821777	7980.612754821777	7980.612754821777	7980.612754821777	7980.612754821777
8383.968114852905	8383.968114852905	8383.968114852905	8383.968114852905	8383.968114852905
8787.322521209717	8787.322521209717	8787.322521209717	8686.814308166504	8686.814308166504
9191.029071807861	9191.029071807861	9191.029071807861	9191.029071807861	9191.029071807861
9595.810890197754	9595.810890197754	9494.31324005127	9494.31324005127	9494.31324005127
10000.019311904907	10000.019311904907	10000.019311904907	10000.019311904907	10000.019311904907
10403.594970703125	10403.594970703125	10403.594970703125	10403.594970703125	10403.594970703125
10808.05230140686	10808.05230140686	10808.05230140686	10808.05230140686	10808.05230140686
11211.125135421753	11211.125135421753	11211.125135421753	11211.125135421753	11211.125135421753
11615.10419845581	11615.10419845581	11514.302253723145	11514.302253723145	11514.302253723145
12021.326065063477	12021.326065063477	11920.602560043335	11920.602560043335	11920.602560043335
12423.908233642578	12423.908233642578	12323.3163356781	12323.3163356781	12323.3163356781
12728.058815002441	12728.058815002441	12728.058815002441	12728.058815002441	12728.058815002441
13131.930351257324	13131.930351257324	13131.930351257324	13131.930351257324	13131.930351257324
13535.855293273926	13535.855293273926	13535.855293273926	13535.855293273926	13535.855293273926
13939.516067504883	13939.516067504883	13939.516067504883	13939.516067504883	13939.516067504883
14343.034982681274	14343.034982681274	14343.034982681274	14343.034982681274	14343.034982681274
14745.149612426758	14745.149612426758	14745.149612426758	14745.149612426758	14745.149612426758
15149.617910385132	15149.617910385132	15149.617910385132	15149.617910385132	15149.617910385132
15555.821657180786	15555.821657180786	15555.821657180786	15555.821657180786	15555.821657180786
15960.270404815674	15960.270404815674	15960.270404815674	15960.270404815674	15960.270404815674
16365.224123001099	16365.224123001099	16365.224123001099	16365.224123001099	16365.224123001099
16768.619060516357	16768.619060516357	16768.619060516357	16768.619060516357	16768.619060516357
17172.71900177002	17172.71900177002	17172.71900177002	17172.71900177002	17172.71900177002
17575.552225112915	17575.552225112915	17575.552225112915	17575.552225112915	17575.552225112915
17982.386112213135	17982.386112213135	17982.386112213135	17982.386112213135	17982.386112213135
18386.303663253784	18386.303663253784	18386.303663253784	18386.303663253784	18386.303663253784
18790.41624069214	18790.41624069214	18790.41624069214	18790.41624069214	18790.41624069214
19192.90065765381	19192.90065765381	19192.90065765381	19192.90065765381	19192.90065765381
19594.769954681396	19594.769954681396	19594.769954681396	19594.769954681396	19494.269609451294
19997.694969177246	19997.694969177246	19997.694969177246	19997.694969177246	19997.694969177246
20401.32212638855	20401.32212638855	20401.32212638855	20401.32212638855	20401.32212638855
20807.02829360962	20807.02829360962	20807.02829360962	20807.02829360962	20807.02829360962
21210.944175720215	21210.944175720215	21210.944175720215	21210.944175720215	21210.944175720215
21614.941596984863	21614.941596984863	21614.941596984863	21614.941596984863	21614.941596984863
22018.813371658325	22018.813371658325	22018.813371658325	21917.182445526123	21917.182445526123
22423.731327056885	22423.731327056885	22423.731327056885	22322.22867012024	22322.22867012024
22829.074144363403	22829.074144363403	22829.074144363403	22829.074144363403	22727.29253768921
23232.71346092224	23232.71346092224	23130.99718093872	23130.99718093872	23130.99718093872
23635.62273979187	23635.62273979187	23534.729957580566	23534.729957580566	23534.729957580566
24040.98129272461	24040.98129272461	23939.040422439575	23939.040422439575	23939.040422439575
24445.908784866333	24445.908784866333	24344.948291778564	24344.948291778564	24344.948291778564
24750.0422000885	24750.0422000885	24750.0422000885	24750.0422000885	24750.0422000885
25154.520988464355	25154.520988464355	25154.520988464355	25154.520988464355	25154.520988464355
25559.991121292114	25559.991121292114	25559.991121292114	25559.991121292114	25559.991121292114
25963.43970298767	25963.43970298767	25963.43970298767	25963.43970298767	25963.43970298767
26369.38428878784	26369.38428878784	26369.38428878784	26369.38428878784	26369.38428878784
26774.53374862671	26774.53374862671	26774.53374862671	26774.53374862671	26774.53374862671
27180.190324783325	27180.190324783325	27180.190324783325	27180.190324783325	27180.190324783325
27586.31682395935	27586.31682395935	27586.31682395935	27586.31682395935	27586.31682395935
27993.186712265015	27993.186712265015	27993.186712265015	27993.186712265015	27993.186712265015
28397.417306900024	28397.417306900024	28397.417306900024	28397.417306900024	28397.417306900024
28801.002025604248	28801.002025604248	28801.002025604248	28801.002025604248	28801.002025604248
29204.208612442017	29204.208612442017	29204.208612442017	29204.208612442017	29204.208612442017
29606.711626052856	29606.711626052856	29606.711626052856	29606.711626052856	29606.711626052856
30012.06612586975	30012.06612586975	30012.06612586975	30012.06612586975	30012.06612586975
30414.125680923462	30414.125680923462	30414.125680923462	30414.125680923462	30414.125680923462
30820.176362991333	30820.176362991333	30820.176362991333	30820.176362991333	30820.176362991333
31224.862813949585	31224.862813949585	31224.862813949585	31224.862813949585	31224.862813949585
31627.05087661743	31627.05087661743	31627.05087661743	31526.36456489563	31526.36456489563
32030.429363250732	32030.429363250732	32030.429363250732	32030.429363250732	32030.429363250732
